SentenceID,Sentence,SentimentID,
1,SCENE 1: The Trouble With Swallows,0,
2,ARTHUR: Whoa there!,4,
3,SOLDIER #1: Halt! Who goes there?,5,
4,"ARTHUR: It is I, Arthur, son of Uther Pendragon, from the castle of Camelot. King of the Britons, defeater of the Saxons, Sovereign of all England!",4,
5,SOLDIER #1: Pull the other one!,4,
6,"ARTHUR: I am, and this is my trusty servant Patsy.",4,
7,We have ridden the length and breadth of the land in search of knights who will join me in my court at Camelot.,4,
8,I must speak with your lord and master.,4,
9,SOLDIER #1: What?,5,
10,Ridden on a horse?,3,
11,ARTHUR: Yes!,6,
12,SOLDIER #1: You're using coconuts!,4,
13,ARTHUR: What?,5,
14,SOLDIER #1: You've got two empty halves of a coconut and you're bangin' 'em together.,4,
15,ARTHUR: So?,5,
16,"We have ridden since the snows of winter covered this land, through the kingdom of Mercia, through--",4,
17,SOLDIER #1: Where'd you get the coconuts?,5,
18,ARTHUR: We found them.,4,
19,SOLDIER #1: Found them?,3,
20,In Mercia?,3,
21,The coconut's tropical!,4,
22,ARTHUR: What do you mean?,5,
23,"SOLDIER #1: Well, this is a temperate zone.",4,
24,"ARTHUR: The swallow may fly south with the sun or the house martin or the plover may seek warmer climes in winter, yet these are not strangers to our land?",5,
25,SOLDIER #1: Are you suggesting coconuts migrate?,3,
26,ARTHUR: Not at all.,2,
27,They could be carried.,4,
28,SOLDIER #1: What?,5,
29,A swallow carrying a coconut?,3,
30,ARTHUR: It could grip it by the husk,4,
31,SOLDIER #1: It's not a question of where he grips it!,8,
32,It's a simple question of weight ratios!,4,
33,A five ounce bird could not carry a one pound coconut.,2,
34,"ARTHUR: Well, it doesn't matter.",2,
35,Will you go and tell your master that Arthur from the Court of Camelot is here?,5,
36,SOLDIER #1: Listen.,4,
37,"In order to maintain air-speed velocity, a swallow needs to beat its wings forty-three times every second, right?",5,
38,ARTHUR: Please!,4,
39,SOLDIER #1: Am I right?,5,
40,ARTHUR: I'm not interested!,2,
41,SOLDIER #2: It could be carried by an African swallow!,6,
42,"SOLDIER #1: Oh, yeah, an African swallow maybe, but not a European swallow.",2,
43,That's my point.,4,
44,"SOLDIER #2: Oh, yeah, I agree with that.",6,
45,ARTHUR: Will you ask your master if he wants to join my court at Camelot?!,5,
46,"SOLDIER #1: But then of course, uh, African swallows are non-migratory.",2,
47,"SOLDIER #2: Oh, yeah.",4,
48,"SOLDIER #1: So, they couldn't bring a coconut back anyway.",2,
49,SOLDIER #2: Wait a minute!,6,
50,Supposing two swallows carried it together?,5,
51,"SOLDIER #1: No, they'd have to have it on a line.",2,
52,"SOLDIER #2: Well, simple! They'd just use a strand of creeper!",6,
53,"SOLDIER #1: What, held under the dorsal guiding feathers?",3,
54,"SOLDIER #2: Well, why not?",5,
55,SCENE 2: Just Die Already,0,
56,CART MASTER: Bring out your dead!,4,
57,Bring out your dead!,4,
58,Bring out your dead!,4,
59,Bring out your dead!,4,
60,Bring out your dead!,4,
61,Bring out your dead!,4,
62,Bring out your dead!,4,
63,Bring out your dead! Nine pence.,4,
64,Bring out your dead!,4,
65,Bring out your dead!,4,
66,Bring out your dead!,4,
67,CUSTOMER: Here's one.,4,
68,CART MASTER: Nine pence.,4,
69,DEAD PERSON: I'm not dead!,6,
70,CART MASTER: What?,5,
71,CUSTOMER: Nothing. Here's your nine pence.,2,
72,DEAD PERSON: I'm not dead!,6,
73,CART MASTER: 'Ere.,4,
74,He says he's not dead!,4,
75,"CUSTOMER: Yes, he is.",6,
76,DEAD PERSON: I'm not!,2,
77,CART MASTER: He isn't?,2,
78,"CUSTOMER: Well, he will be soon.",6,
79,He's very ill.,2,
80,DEAD PERSON: I'm getting better!,6,
81,"CUSTOMER: No, you're not.",2,
82,You'll be stone dead in a moment.,1,
83,"CART MASTER: Oh, I can't take him like that.",2,
84,It's against regulations.,2,
85,DEAD PERSON: I don't want to go on the cart!,2,
86,"CUSTOMER: Oh, don't be such a baby.",2,
87,CART MASTER: I can't take him.,2,
88,DEAD PERSON: I feel fine!,6,
89,"CUSTOMER: Well, do us a favor.",6,
90,CART MASTER: I can't.,2,
91,"CUSTOMER: Well, can you hang around a couple of minutes?",5,
92,He won't be long.,4,
93,"CART MASTER: No, I've got to go to the Robinsons'.",2,
94,They've lost nine today.,2,
95,"CUSTOMER: Well, when's your next round?",5,
96,CART MASTER: Thursday.,4,
97,DEAD PERSON: I think I'll go for a walk.,6,
98,"CUSTOMER: You're not fooling anyone, you know.",2,
99,"Look, isn't there something you can do?",5,
100,DEAD PERSON: [singing] I feel happy.,6,
101,I feel happy.,6,
102,"CUSTOMER: Ah, thanks very much.",6,
103,CART MASTER: Not at all.,4,
104,See you on Thursday.,4,
105,"CUSTOMER: Right, all right.",6,
106,"Who's that, then?",5,
107,CART MASTER: I dunno.,4,
108,Must be a king.,4,
109,CUSTOMER: Why?,4,
110,CART MASTER: He hasn't got shit all over him.,2,
111,SCENE 3: Repression is Nine Tenths of the Law?,0,
112,ARTHUR: Old woman!,4,
113,DENNIS: Man!,4,
114,ARTHUR: Man.,4,
115,"Sorry, what knight lives in that castle over there?",5,
116,DENNIS: I'm thirty-seven.,4,
117,ARTHUR: I-- what?,5,
118,DENNIS: I'm thirty-seven.,4,
119,I'm not old.,4,
120,"ARTHUR: Well, I can't just call you 'Man'.",2,
121,"DENNIS: Well, you could say 'Dennis'.",4,
122,"ARTHUR: Well, I didn't know you were called 'Dennis'.",2,
123,"DENNIS: Well, you didn't bother to find out, did you?",2,
124,"ARTHUR: I did say 'sorry' about the 'old woman', but from the behind you looked--",2,
125,DENNIS: What I object to is that you automatically treat me like an inferior!,2,
126,"ARTHUR: Well, I am King!",4,
127,"DENNIS: Oh, King, eh, very nice.",3,
128,"And how d'you get that, eh?",3,
129,By exploiting the workers?,3,
130,By 'anging on to outdated imperialist dogma which perpetuates the economic and social differences in our society?,3,
131,If there's ever going to be any progress with the--,4,
132,"WOMAN: Dennis, there's some lovely filth down here.",6,
133,Oh! How d'you do?,6,
134,"ARTHUR: How do you do, good lady?",6,
135,"I am Arthur, King of the Britons.",4,
136,Who's castle is that?,5,
137,WOMAN: King of the who?,5,
138,ARTHUR: The Britons.,4,
139,WOMAN: Who are the Britons?,5,
140,"ARTHUR: Well, we all are.",4,
141,"We are all Britons, and I am your king.",4,
142,WOMAN: I didn't know we had a king.,2,
143,I thought we were an autonomous collective.,4,
144,DENNIS: You're fooling yourself.,1,
145,"We're living in a dictatorship, a self-perpetuating autocracy in which the working classes--",1,
146,"WOMAN: Oh, there you go bringing class into it again.",2,
147,DENNIS: That's what it's all about.,4,
148,If only people would hear of--,2,
149,"ARTHUR: Please! Please, good people.",2,
150,I am in haste.,2,
151,Who lives in that castle?,5,
152,WOMAN: No one lives there.,4,
153,ARTHUR: Then who is your lord?,5,
154,WOMAN: We don't have a lord.,4,
155,ARTHUR: What?,5,
156,DENNIS: I told you.,4,
157,We're an anarcho-syndicalist commune.,4,
158,"We take it in turns to act as a sort of executive officer for the week,...",4,
159,ARTHUR: Yes.,7,
160,DENNIS: ...but all the decisions of that officer have to be ratified at a special bi-weekly meeting...,4,
161,"ARTHUR: Yes, I see.",6,
162,"DENNIS: ...by a simple majority in the case of purely internal affairs,...",4,
163,ARTHUR: Be quiet!,2,
164,DENNIS: ...but by a two-thirds majority in the case of more major--,4,
165,ARTHUR: Be quiet!,2,
166,I order you to be quiet!,2,
167,"WOMAN: Order, eh?",3,
168,Who does he think he is?,3,
169,Heh.,4,
170,ARTHUR: I am your king!,4,
171,"WOMAN: Well, I didn't vote for you.",2,
172,ARTHUR: You don't vote for kings.,2,
173,"WOMAN: Well, how did you become King, then?",5,
174,"ARTHUR: The Lady of the Lake,her arm clad in the purest shimmering samite, held aloft Excalibur from the bosom of the water signifying by Divine Providence that I, Arthur, was to carry Excalibur.",4,
175,That is why I am your king!,6,
176,DENNIS: Listen.,4,
177,Strange women lying in ponds distributing swords is no basis for a system of government.,3,
178,"Supreme executive power derives from a mandate from the masses, not from some farcical aquatic ceremony.",3,
179,ARTHUR: Be quiet!,2,
180,"DENNIS: Well, but you can't expect to wield supreme executive power just 'cause some watery tart threw a sword at you!",3,
181,ARTHUR: Shut up!,1,
182,"DENNIS: I mean, if I went 'round saying I was an emperor just because some moistened bint had lobbed a scimitar at me, they'd put me away!",3,
183,"ARTHUR: Shut up, will you?",1,
184,Shut up!,1,
185,"DENNIS: Ah, now we see the violence inherent in the system.",3,
186,ARTHUR: Shut up!,1,
187,DENNIS: Oh!,4,
188,Come and see the violence inherent in the system!,1,
189,Help!,8,
190,Help!,8,
191,I'm being repressed!,1,
192,ARTHUR: Bloody peasant!,1,
193,"DENNIS: Oh, what a give-away.",3,
194,"Did you hear that? Did you hear that, eh?",5,
195,That's what I'm on about.,2,
196,Did you see him repressing me?,5,
197,"You saw it, didn't you?",5,
198,SCENE 4: Arthur Meets a Brave Knight...and Cuts His Limbs Off,0,
199,BLACK KNIGHT: Aaaagh!,8,
200,BLACK KNIGHT: Aaagh!,8,
201,GREEN KNIGHT: Ooh!,8,
202,BLACK KNIGHT: Aagh!,8,
203,GREEN KNIGHT: Oh!,8,
204,Ooh!,8,
205,Uuh.,8,
206,BLACK KNIGHT: Aaaagh!,8,
207,"BLACK KNIGHT and GREEN KNIGHT: Agh!, oh!, etc.",8,
208,GREEN KNIGHT: Aaaaaah!,8,
209,Aaaaaaaaah!,8,
210,BLACK KNIGHT: Umm!,8,
211,"ARTHUR: You fight with the strength of many men, Sir Knight.",7,
212,"I am Arthur, King of the Britons.",4,
213,I seek the finest and the bravest knights in the land to join me in my court at Camelot.,6,
214,You have proved yourself worthy.,6,
215,Will you join me?,5,
216,You make me sad.,1,
217,So be it.,4,
218,"Come, Patsy.",4,
219,BLACK KNIGHT: None shall pass.,4,
220,ARTHUR: What?,5,
221,BLACK KNIGHT: None shall pass.,4,
222,"ARTHUR: I have no quarrel with you, good Sir Knight, but I must cross this bridge.",2,
223,BLACK KNIGHT: Then you shall die.,1,
224,"ARTHUR: I command you, as King of the Britons, to stand aside!",2,
225,BLACK KNIGHT: I move for no man.,2,
226,ARTHUR: So be it!,2,
227,"ARTHUR and BLACK KNIGHT: Aaah!, hiyaah!, etc.",8,
228,"ARTHUR: Now stand aside, worthy adversary.",2,
229,BLACK KNIGHT: 'Tis but a scratch.,6,
230,ARTHUR: A scratch?,5,
231,Your arm's off!,2,
232,"BLACK KNIGHT: No, it isn't.",1,
233,"ARTHUR: Well, what's that, then?",5,
234,BLACK KNIGHT: I've had worse.,2,
235,ARTHUR: You liar!,1,
236,"BLACK KNIGHT: Come on, you pansy!",1,
237,Huyah!,8,
238,Hiyaah!,8,
239,Aaaaaaaah!,8,
240,ARTHUR: Victory is mine!,7,
241,"We thank Thee Lord, that in Thy mer--",7,
242,BLACK KNIGHT: Hah!,8,
243,"Come on, then.",6,
244,ARTHUR: What?,5,
245,BLACK KNIGHT: Have at you!,8,
246,"ARTHUR: Eh. You are indeed brave, Sir Knight, but the fight is mine.",4,
247,"BLACK KNIGHT: Oh, had enough, eh?",5,
248,"ARTHUR: Look, you stupid bastard.",1,
249,You've got no arms left.,1,
250,"BLACK KNIGHT: Yes, I have.",6,
251,ARTHUR: Look!,8,
252,BLACK KNIGHT: Just a flesh wound.,6,
253,"ARTHUR: Look, stop that.",2,
254,BLACK KNIGHT: Chicken!,2,
255,Chickennn!,2,
256,"ARTHUR: Look, I'll have your leg.",2,
257,Right!,2,
258,"BLACK KNIGHT: Right, I'll do you for that!",2,
259,ARTHUR: You'll what?,5,
260,BLACK KNIGHT: Come here!,2,
261,"ARTHUR: What are you going to do, bleed on me?",3,
262,BLACK KNIGHT: I'm invincible!,7,
263,ARTHUR: You're a looney.,1,
264,BLACK KNIGHT: The Black Knight always triumphs!,7,
265,Have at you!,8,
266,"Come on, then.",6,
267,"BLACK KNIGHT: Oh? All right, we'll call it a draw.",6,
268,"ARTHUR: Come, Patsy.",4,
269,"BLACK KNIGHT: Oh. Oh, I see. Running away, eh?",5,
270,You yellow bastards! Come back here and take what's coming to you.,1,
271,I'll bite your legs off!,1,
272,SCENE 5: Witches and How To Build Bridges Out of Them,0,
273,"MONKS: [chanting] Pie Iesu domine, dona eis requiem.",0,
274,"Pie Iesu domine,...",0,
275,...dona eis requiem.,0,
276,"Pie Iesu domine,...",0,
277,...dona eis requiem.,0,
278,CROWD: A witch! A witch!,8,
279,A witch! A witch!,8,
280,MONKS: [chanting] Pie Iesu domine...,0,
281,CROWD: A witch!,8,
282,A witch!,8,
283,A witch!,8,
284,A witch!,8,
285,We've found a witch!,8,
286,A witch!,8,
287,A witch!,8,
288,A witch!,8,
289,A witch!,8,
290,We've got a witch!,8,
291,A witch!,8,
292,A witch!,8,
293,Burn her!,1,
294,Burn her!,1,
295,Burn her!,1,
296,We've found a witch!,8,
297,We've found a witch!,8,
298,A witch!,8,
299,A witch!,8,
300,A witch!,8,
301,VILLAGER #1: We have found a witch.,4,
302,May we burn her?,5,
303,CROWD: Burn her!,1,
304,Burn!,1,
305,Burn her!,1,
306,Burn her!,1,
307,BEDEVERE: How do you know she is a witch?,5,
308,VILLAGER #2: She looks like one.,4,
309,CROWD: Right!,8,
310,Yeah!,8,
311,Yeah!,8,
312,BEDEVERE: Bring her forward.,4,
313,WITCH: I'm not a witch.,2,
314,I'm not a witch.,2,
315,"BEDEVERE: Uh, but you are dressed as one.",2,
316,WITCH: They dressed me up like this.,4,
317,"CROWD: Augh, we didn't!",2,
318,We didn't...,2,
319,WITCH: And this isn't my nose.,1,
320,It's a false one.,1,
321,BEDEVERE: Well?,5,
322,"VILLAGER #1: Well, we did do the nose.",6,
323,BEDEVERE: The nose?,5,
324,"VILLAGER #1: And the hat, but she is a witch!",2,
325,VILLAGER #2: Yeah!,8,
326,CROWD: We burn her!,1,
327,Right!,8,
328,Yeaaah!,8,
329,Yeaah!,8,
330,BEDEVERE: Did you dress her up like this?,5,
331,VILLAGER #1: No!,1,
332,VILLAGER #2 and 3: No. No.,1,
333,VILLAGER #2: No.,1,
334,VILLAGER #1: No.,1,
335,VILLAGERS #2 and #3: No.,1,
336,VILLAGER #1: Yes.,7,
337,VILLAGER #2: Yes.,7,
338,VILLAGER #1: Yes.,7,
339,"Yeah, a bit.",6,
340,VILLAGER #3: A bit.,6,
341,VILLAGERS #1 and #2: A bit.,6,
342,VILLAGER #3: A bit.,6,
343,VILLAGER #1: She has got a wart.,2,
344,RANDOM: [cough],0,
345,BEDEVERE: What makes you think she is a witch?,5,
346,"VILLAGER #3: Well, she turned me into a newt.",2,
347,BEDEVERE: A newt?,5,
348,VILLAGER #3: I got better.,6,
349,VILLAGER #2: Burn her anyway!,1,
350,VILLAGER #1: Burn!,1,
351,CROWD: Burn her!,1,
352,Burn!,1,
353,Burn her!...,1,
354,BEDEVERE: Quiet!,8,
355,Quiet!,8,
356,Quiet!,8,
357,Quiet!,8,
358,There are ways of telling whether she is a witch.,4,
359,VILLAGER #1: Are there?,5,
360,VILLAGER #2: Ah?,5,
361,VILLAGER #1: What are they?,5,
362,CROWD: Tell us!,6,
363,Tell us!...,6,
364,VILLAGER #2: Do they hurt?,5,
365,BEDEVERE: Tell me.,4,
366,What do you do with witches?,5,
367,VILLAGER #2: Burn!,1,
368,VILLAGER #1: Burn!,1,
369,CROWD: Burn!,1,
370,Burn them up!,1,
371,Burn!...,1,
372,BEDEVERE: And what do you burn apart from witches?,5,
373,VILLAGER #1: More witches!,6,
374,VILLAGER #3: Shh!,8,
375,VILLAGER #2: Wood!,8,
376,"BEDEVERE: So, why do witches burn?",5,
377,VILLAGER #3: B--... 'cause they're made of... wood?,5,
378,BEDEVERE: Good!,7,
379,Heh heh.,8,
380,"CROWD: Oh, yeah, oh.",8,
381,"BEDEVERE: So, how do we tell whether she is made of wood?",5,
382,VILLAGER #1: Build a bridge out of her.,4,
383,"BEDEVERE: Ah, but can you not also make bridges out of stone?",5,
384,"VILLAGER #1: Oh, yeah.",4,
385,"RANDOM: Oh, yeah, true. Uhh...",4,
386,BEDEVERE: Does wood sink in water?,5,
387,VILLAGER #1: No. No.,1,
388,"VILLAGER #2: No, it floats!",8,
389,It floats!,8,
390,VILLAGER #1: Throw her into the pond!,6,
391,CROWD: The pond!,8,
392,Throw her into the pond!,6,
393,BEDEVERE: What also floats in water?,5,
394,VILLAGER #1: Bread!,8,
395,VILLAGER #2: Apples!,8,
396,"VILLAGER #3: Uh, very small rocks!",8,
397,VILLAGER #1: Cider!,8,
398,"VILLAGER #2: Uh, gra-- gravy!",8,
399,VILLAGER #1: Cherries!,8,
400,VILLAGER #2: Mud!,8,
401,"VILLAGER #3: Uh, churches!",8,
402,Churches!,8,
403,VILLAGER #2: Lead!,8,
404,Lead!,8,
405,ARTHUR: A duck!,8,
406,CROWD: Oooh.,8,
407,BEDEVERE: Exactly.,4,
408,"So, logically...",4,
409,"VILLAGER #1: If... she... weighs... the same as a duck,... she's made of wood.",4,
410,BEDEVERE: And therefore?,5,
411,VILLAGER #2: A witch!,8,
412,VILLAGER #1: A witch!,8,
413,CROWD: A witch!,8,
414,A witch!...,8,
415,VILLAGER #4: Here is a duck.,4,
416,Use this duck.,4,
417,BEDEVERE: Very good. We shall use my largest scales.,7,
418,CROWD: Ohh! Ohh!,8,
419,Burn the witch!,8,
420,Burn the witch!,8,
421,Burn her!,8,
422,Burn her!,8,
423,Burn her!,8,
424,Burn her!,8,
425,Burn her!,8,
426,Burn her!,8,
427,Burn her!,8,
428,Ahh!,8,
429,Ahh...,8,
430,BEDEVERE: Right. Remove the supports!,4,
431,CROWD: A witch!,8,
432,A witch!,8,
433,A witch!,8,
434,WITCH: It's a fair cop.,6,
435,VILLAGER #3: Burn her!,1,
436,CROWD: Burn her!,1,
437,Burn her!,1,
438,Burn her!,1,
439,Burn!,1,
440,Burn!...,1,
441,BEDEVERE: Who are you who are so wise in the ways of science?,5,
442,"ARTHUR: I am Arthur, King of the Britons.",4,
443,BEDEVERE: My liege!,8,
444,"ARTHUR: Good Sir Knight, will you come with me to Camelot and join us at the Round Table?",5,
445,BEDEVERE: My liege!,8,
446,I would be honored.,7,
447,ARTHUR: What is your name?,5,
448,"BEDEVERE: 'Bedevere', my liege.",4,
449,"ARTHUR: Then I dub you 'Sir Bedemere, Knight of the Round Table'.",6,
450,"NARRATOR: The wise Sir Bedevere was the first to join King Arthur's knights, but other illustrious names were soon to follow:",0,
451,"Sir Lancelot the Brave,",7,
452,"Sir Gallahad the Pure,",7,
453,"and Sir Robin the-not-quite-so-brave-as-Sir-Lancelot,",2,
454,"who had nearly fought the Dragon of Angnor,",2,
455,"who had nearly stood up to the vicious Chicken of Bristol,",2,
456,"and who had personally wet himself at the Battle of Badon Hill,",2,
457,and the aptly named Sir Not-appearing-in-this-film.,3,
458,Together they formed a band whose names and deeds were to be retold throughout the centuries: The Knights of the Round Table.,6,
459,SCENE 6: Camelot is a Silly Place,0,
460,"SIR BEDEVERE: And that, my liege, is how we know the earth to be banana-shaped.",6,
461,"ARTHUR: This new learning amazes me, Sir Bedevere.",7,
462,Explain again how sheep's bladders may be employed to prevent earthquakes.,6,
463,"BEDEVERE: Oh, certainly, sir.",7,
